[Name]
R1 Blade

[Spatial Fields]
X,Y,Z

[Data]
X[m],Y[m],Z[m]

0.42,0.03842843938255922,-0.06773836498399581
0.44,0.040177329485764426,-0.06773732965468834
0.46,0.04192621958896964,-0.06773629432538088
0.48,0.04367510969217484,-0.06773525899607341
0.5,0.045423999795380046,-0.06773422366676593
0.52,0.04717288989858525,-0.06773318833745846
0.54,0.048921780001790455,-0.067732153008151
0.56,0.05067067010499566,-0.06773111767884353
0.58,0.052419560208200856,-0.06773008234953606
0.42,0.03172083659292244,-0.06720742146429792
0.44,0.0334735985344418,-0.06722179426922341
0.46,0.03522636047596116,-0.0672361670741489
0.48,0.03697912241748051,-0.06725053987907438
0.5,0.038731884358999866,-0.06726491268399987
0.52,0.04048464630051923,-0.06727928548892535
0.54,0.04223740824203859,-0.06729365829385084
0.56,0.04399017018355794,-0.06730803109877632
0.58,0.04574293212507729,-0.06732240390370181
